iucn_sid,sciname,common,subpop,habs,max_depth,cat,cat_score
163400,gonatus oregonensis,NA,NA,"10.1, 10.2",200 m +,dd,NA
163402,mastigoteuthis glaukopsis,NA,NA,"10.1, 10.2",200 m +,dd,NA
163403,kondakovia longimana,NA,NA,"10.1, 10.2",200 m +,lc,0
163404,opisthoteuthis albatrossi,NA,NA,"11.1, 11.1.1, 11.1.2",deep oceanic,dd,NA
163405,abraliopsis falco,NA,NA,"10.1, 10.2",200 m +,lc,0
163406,muusoctopus profundorum,NA,NA,11.1,deep oceanic,dd,NA
163407,muusoctopus abruptus,NA,NA,11.1,deep oceanic,dd,NA
163408,octopus zonatus,NA,NA,18,unknown,dd,NA
163458,batagur borneoensis,painted terrapin,NA,"12.7, 9.10",< 200 m,cr,0.8
164280,ruppia cirrhosa,spiral ditchgrass,NA,"12.4, 12.5, 9.1",< 200 m,lc,0
164334,spergularia marina,lesser sea-spurrey,NA,12.5,< 20 m,lc,0
164508,ruppia maritima,beaked tasselweed,NA,"12.4, 12.5, 12.6, 12.7, 15.13, 9.1, 9.5, 9.6, 9.9",< 200 m,lc,0
164513,ambrosia maritima,sea ambrosia,NA,"12.2, 12.4, 12.5",< 20 m,lc,0
164893,brachirus harmandi,harmand's sole,NA,9.1,< 200 m,lc,0
165299,centrophorus moluccensis,smallfin gulper shark,australian subpopulation,10.1,200 m +,en,0.6
165607,chaetodon falcula,indian double-saddle butterflyfish,NA,"9.8, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165608,heniochus pleurotaenia,indian ocean bannerfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165609,chaetodon larvatus,orange-face buttterflyfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165610,chaetodon leucopleura,somali butterflyfish,NA,"9.2, 9.8, 9.8.3",< 200 m,lc,0
165611,chaetodon ocellatus,spotfin butterflyfish,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165612,chaetodon zanzibarensis,zanzibar butterflyfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165613,prognathodes brasiliensis,NA,NA,9.2,< 200 m,lc,0
165614,roa jayakari,indian golden-barred butterflyfish,NA,9.2,< 200 m,lc,0
165615,chaetodon mertensii,orangebar butterflyfish,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165616,chelmon marginalis,margined coralfish,NA,"9.2, 9.5, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165617,hemitaurichthys multispinosus,many-spined butterflyfish,NA,"9.8, 9.8.3",< 200 m,lc,0
165618,chaetodon mesoleucos,white fronted butter flyfish,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165619,chaetodon guttatissimus,peppered butterflyfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165620,chaetodon burgessi,black-barred butterflyfish,NA,"9.2, 9.8, 9.8.3",< 200 m,lc,0
165621,prognathodes aya,bank butterflyfish,NA,"9.2, 9.3",< 200 m,lc,0
165622,heniochus singularius,singular bannerfish,NA,"9.2, 9.8, 9.8.1, 9.8.3",< 200 m,lc,0
165623,chaetodon octofasciatus,eight-striped butterflyfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165624,chaetodon triangulum,herringbone butterflyfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165625,chaetodon paucifasciatus,red sea chevron butterflyfish,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165626,heniochus acuminatus,pennant coral fish,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165627,prognathodes aculeatus,longsnout butterflyfish,NA,"9.2, 9.8, 9.8.3",< 200 m,lc,0
165628,chaetodon kleinii,whitespotted butterflyfish,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165630,chaetodon vagabundus,criss-cross butterflyfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165631,chaetodon auriga,threadfin butterflyfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165632,chaetodon punctatofasciatus,spotted belly butterflyfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165633,johnrandallia nigrirostris,black-nosed butterflyfish,NA,9.2,< 200 m,lc,0
165634,chaetodon austriacus,red sea melon butterflyfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165635,chaetodon humeralis,three-banded butterflyfish,NA,"12.6, 9.10, 9.2, 9.4, 9.8",< 200 m,lc,0
165636,chaetodon nippon,japanese butterflyfish,NA,9.2,< 200 m,lc,0
165637,chaetodon striatus,banded butterflyfish,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.9",< 200 m,lc,0
165638,chaetodon meyeri,scrawled butterflyfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165639,roa excelsa,hawaiian gold-barred butterflyfish,NA,9.2,< 200 m,lc,0
165640,heniochus chrysostomus,threeband pennantfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165641,chaetodon ornatissimus,ornate butterflyfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165642,chaetodon madagaskariensis,indian ocean chevron butterflyfish,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165643,chaetodon selene,yellow-dotted butterflyfish,NA,"9.2, 9.8, 9.8.1, 9.8.3, 9.8.5, 9.8.6",< 200 m,lc,0
165644,prognathodes guezei,gueze's butterflyfish,NA,9.2,< 200 m,dd,NA
165645,prognathodes guyotensis,NA,NA,9.2,< 200 m,dd,NA
165646,prognathodes guyanensis,french butterflyfish,NA,9.2,< 200 m,lc,0
165647,chaetodon pictus,NA,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165648,chaetodon decussatus,indian vagabond butterflyfish,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4, 9.8.6",< 200 m,lc,0
165649,chaetodon gardineri,gardiner's butterflyfish,NA,"9.2, 9.8",< 200 m,lc,0
165650,heniochus monoceros,unicorn pennant coralfish,NA,"9.8, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165651,chaetodon lunula,redstriped butterflyfish,NA,"9.2, 9.8, 9.8.3, 9.8.4",< 200 m,lc,0
165652,heniochus varius,hunchbacked coralfish,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165653,chaetodon pelewensis,dot-and-dash butterflyfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165654,chaetodon dolosus,blackedged butterflyfish,NA,"9.2, 9.8, 9.8.3",< 200 m,lc,0
165655,chaetodon multicinctus,multiband butterflyfish,NA,"9.8, 9.8.3, 9.8.4",< 200 m,lc,0
165656,chaetodon xanthurus,philippine chevron butterflyfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165657,chaetodon plebeius,blueblotch butterflyfish,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165658,prognathodes carlhubbsi,NA,NA,9.2,< 200 m,nt,0.2
165659,chelmon rostratus,banded longsnout butterflyfish,NA,"9.2, 9.5, 9.8, 9.8.2, 9.8.4",< 200 m,lc,0
165660,chelmon muelleri,müller's coralfish,NA,"9.10, 9.2, 9.4, 9.5",< 200 m,lc,0
165661,parachaetodon ocellatus,sixspine butterflyfish,NA,"9.2, 9.5, 9.9",< 200 m,lc,0
165662,chaetodon fremblii,bluestriped butterflyfish,NA,"9.2, 9.3, 9.8",< 200 m,lc,0
165663,chaetodon argentatus,three-band butterflyfish,NA,"9.2, 9.8",< 200 m,lc,0
165664,chaetodon oxycephalus,spot-nape butterflyfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165665,chaetodon ulietensis,pacific double-saddled butterflyfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165666,chaetodon mitratus,indian butterflyfish,NA,"9.2, 9.8, 9.8.3",< 200 m,lc,0
165667,forcipiger longirostris,black long-nosed butterflyfish,NA,"9.8, 9.8.1, 9.8.4",< 200 m,lc,0
165668,chaetodon citrinellus,speckled butterflyfish,NA,"9.8, 9.8.1, 9.8.3, 9.8.4",< 200 m,lc,0
165669,chaetodon lineolatus,lined butterflyfish,NA,"9.8, 9.8.3, 9.8.4",< 200 m,lc,0
165670,chaetodon semilarvatus,bluecheek butterflyfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165671,chaetodon xanthocephalus,yellow-head butterflyfish,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165672,hemitaurichthys polylepis,brushytoothed butterflyfish,NA,"9.2, 9.8, 9.8.1, 9.8.3",< 200 m,lc,0
165673,chaetodon trifasciatus,pinstriped butterflyfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165674,prognathodes marcellae,french butterflyfish,NA,9.2,< 200 m,lc,0
165675,chaetodon smithi,smith's butterflyfish,NA,9.2,< 200 m,lc,0
165676,chaetodon ocellicaudus,spot-tail butterfly fish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,dd,NA
165677,roa modestus,brown-banded butterflyfish,NA,9.2,< 200 m,lc,0
165678,chaetodon quadrimaculatus,neonbanded butterflyfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165679,chaetodon trichrous,tahitian butterflyfish,NA,"9.2, 9.8, 9.8.4",< 200 m,lc,0
165680,chaetodon rafflesii,raffle's butterflyfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165681,chaetodon ephippium,saddle-back butterflyfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165682,amphichaetodon howensis,lord howe island butterflyfish,NA,9.2,< 200 m,lc,0
165683,heniochus diphreutes,schooling bannerfish,NA,"9.2, 9.8, 9.8.3",< 200 m,lc,0
165684,chaetodon interruptus,yellow teardrop butterflyfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165685,chaetodon wiebeli,hongkong butterflyfish,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165686,chaetodon bennetti,bluelashed butterflyfish,NA,"9.8, 9.8.2, 9.8.3, 9.8.4",< 200 m,dd,NA
165687,chaetodon tricinctus,three-striped butterflyfish,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165688,chaetodon flavirostris,dusky butterflyfish,NA,"9.10, 9.2, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165689,chaetodon melannotus,black-backed butterflyfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165690,prognathodes dichrous,hedgehog butterflyfish,NA,9.2,< 200 m,lc,0
165691,heniochus intermedius,red sea bannerfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165692,chaetodon baronessa,pacific triangular butterflyfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165693,chaetodon auripes,oriental butterflyfish,NA,9.2,< 200 m,lc,0
165694,chaetodon speculum,oval-spot butterflyfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165695,chaetodon capistratus,foureye butterflyfish,NA,"9.2, 9.9",< 200 m,lc,0
165696,chaetodon nigropunctatus,black-spotted butterflyfish,NA,"9.2, 9.8, 9.8.4",< 200 m,lc,0
165697,coradion altivelis,high-fin butterflyfish,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165698,chaetodon tinkeri,tinker's butterflyfish,NA,"9.2, 9.8, 9.8.3",< 200 m,lc,0
165699,chaetodon daedalma,wrought iron butterflyfish,NA,"9.2, 9.8, 9.8.3",< 200 m,lc,0
165700,chaetodon hoefleri,four-banded butterfly fish,NA,"9.2, 9.5",< 200 m,lc,0
165701,prognathodes falcifer,scythemarked butterflyfish,NA,9.2,< 200 m,lc,0
165702,coradion chrysozonus,goldon-girdled coralfish,NA,"9.2, 9.8, 9.8.1, 9.8.3",< 200 m,lc,0
165703,chaetodon aureofasciatus,golden-striped butterflyfish,NA,"9.8, 9.8.2, 9.8.4",< 200 m,lc,0
165704,chaetodon lunulatus,pacific pinstriped butterflyfish,NA,"9.8, 9.8.3, 9.8.4",< 200 m,lc,0
165705,chaetodon fasciatus,red sea raccoon butterflyfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165706,chelmonops curiosus,western talma,NA,9.2,< 200 m,lc,0
165707,chaetodon andamanensis,yellow butterflyfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,dd,NA
165708,chaetodon declivis,marquesas butterflyfish,NA,"9.2, 9.8, 9.8.3",< 200 m,lc,0
165709,chaetodon blackburnii,blackburn's butterflyfish,NA,"9.2, 9.8",< 200 m,lc,0
165710,chaetodon assarius,west australian butterflyfish,NA,"9.2, 9.8",< 200 m,lc,0
165711,chaetodon adiergastos,philippine butterflyfish,NA,"9.2, 9.8",< 200 m,lc,0
165712,chaetodon trifascialis,triangulate butterflyfish,NA,9.8,< 200 m,nt,0.2
165713,chaetodon reticulatus,reticulated butterflyfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,dd,NA
165714,chaetodon unimaculatus,teardrop butterfly fish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165715,chaetodon sanctaehelenae,saint helena butterflyfish,NA,9.2,< 200 m,lc,0
165716,forcipiger flavissimus,big long-nosed butterflyfish,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165717,chaetodon rainfordi,rainford's butterflyfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,nt,0.2
165718,chaetodon guentheri,günther's butterflyfish,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3",< 200 m,lc,0
165719,hemitaurichthys zoster,brown-and-white butterflyfish,NA,"9.8, 9.8.1, 9.8.3",< 200 m,lc,0
165720,chelmonops truncatus,truncate coralfish,NA,"9.10, 9.2",< 200 m,lc,0
165721,chaetodon miliaris,millet-seed butterflyfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165723,chaetodon collare,red-tailed butterflyfish,NA,"9.2, 9.8, 9.8.3",< 200 m,lc,0
165724,chaetodon melapterus,black-finned melon butterflyfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165725,chaetodon semeion,decorated butterflyfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165726,chaetodon dialeucos,oman butterflyfish,NA,"9.2, 9.4, 9.8",< 200 m,lc,0
165727,amphichaetodon melbae,narrow-barred butterflyfish,NA,9.2,< 200 m,dd,NA
165769,pachymelania aurita,NA,NA,12.7,< 20 m,lc,0
165778,nereina afra,NA,NA,9.10,< 200 m,lc,0
165780,vitta glabrata,NA,NA,9.10,< 200 m,lc,0
165788,vitta adansoniana,NA,NA,12.7,< 20 m,lc,0
165803,tympanotonos fuscatus,mud-flat periwinkle,NA,12.7,< 20 m,lc,0
165811,septaria borbonica,NA,NA,9.10,< 200 m,lc,0
165822,apolemichthys griffisi,griffis angelfish,NA,"9.2, 9.8, 9.8.1, 9.8.3",< 200 m,lc,0
165823,centropyge nahackyi,nahacky's angelfish,NA,"9.2, 9.8, 9.8.3",< 200 m,nt,0.2
165824,centropyge boylei,peppermint angelfish,NA,"9.2, 9.8, 9.8.3",< 200 m,lc,0
165825,holacanthus africanus,guinean angelfish,NA,9.2,< 200 m,lc,0
165826,chaetodontoplus chrysocephalus,orangeface angelfish,NA,9.2,< 200 m,lc,0
165827,genicanthus takeuchii,NA,NA,"9.2, 9.8, 9.8.1, 9.8.3",< 200 m,lc,0
165828,centropyge fisheri,hawaiian flame angelfish,NA,"9.2, 9.8, 9.8.1, 9.8.3",< 200 m,lc,0
165829,pomacanthus xanthometopon,yellowface angelfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165830,centropyge hotumatua,blackear angelfish,NA,9.2,< 200 m,lc,0
165831,pomacanthus chrysurus,goldtail angelfish,NA,"9.2, 9.8, 9.8.3",< 200 m,lc,0
165832,holacanthus bermudensis,bermuda blue angelfish,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165833,pomacanthus maculosus,yellowbar angelfish,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165834,apolemichthys arcuatus,banded angelfish,NA,"9.2, 9.8, 9.8.3",< 200 m,lc,0
165835,apolemichthys trimaculatus,threespot angelfish,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165836,holacanthus limbaughi,clipperton angelfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,nt,0.2
165837,centropyge argi,cherubfish,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165838,centropyge colini,cocos-keeling angelfish,NA,"9.8, 9.8.3",< 200 m,lc,0
165839,pomacanthus asfur,arabian angelfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165840,pomacanthus sexstriatus,sixbar angelfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165841,apolemichthys xanthopunctatus,goldspotted angelfish,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165842,pomacanthus rhomboides,old woman angelfish,NA,9.2,< 200 m,lc,0
165843,genicanthus melanospilos,spotbreast angelfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3",< 200 m,lc,0
165844,apolemichthys xanthurus,yellowtail angelfish,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165845,genicanthus caudovittatus,zebra angelfish,NA,"9.2, 9.8, 9.8.3",< 200 m,lc,0
165846,genicanthus spinus,pitcairn angelfish,NA,"9.2, 9.8, 9.8.3",< 200 m,lc,0
165847,chaetodontoplus ballinae,ballina angelfish,NA,"9.2, 9.8, 9.8.3",< 200 m,lc,0
165848,centropyge heraldi,yellow angelfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165849,centropyge ferrugata,rusty angelfish,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165850,chaetodontoplus melanosoma,black-velvet angelfish,NA,"9.2, 9.8, 9.8.1, 9.8.3",< 200 m,lc,0
165851,pomacanthus semicirculatus,semicircle angelfish,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165852,paracentropyge multifasciata,barred angelfish,NA,"9.2, 9.8, 9.8.1, 9.8.3",< 200 m,lc,0
165853,apolemichthys xanthotis,yellow-ear angelfish,NA,"9.2, 9.8, 9.8.1, 9.8.3",< 200 m,lc,0
165854,centropyge debelius,blue mauritius angelfish,NA,9.2,< 200 m,lc,0
165855,centropyge eibli,blacktail angelfish,NA,"9.8, 9.8.3, 9.8.4",< 200 m,lc,0
165856,genicanthus semifasciatus,japanese swallow,NA,"9.2, 9.8, 9.8.3",< 200 m,lc,0
165857,chaetodontoplus duboulayi,scribbled angelfish,NA,"9.8, 9.8.3",< 200 m,lc,0
165858,centropyge interruptus,japanese angelfish,NA,"9.2, 9.8, 9.8.3",< 200 m,lc,0
165860,centropyge vrolikii,pearlscale angelfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165861,holacanthus clarionensis,clarion angelfish,NA,9.2,< 200 m,vu,0.4
165862,pomacanthus imperator,emperor angelfish,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165863,chaetodontoplus dimidiatus,velvet angelfish,NA,"9.8, 9.8.3",< 200 m,lc,0
165864,genicanthus bellus,ornate angelfish,NA,9.2,< 200 m,lc,0
165865,centropyge aurantonotus,flameback angelfish,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3",< 200 m,lc,0
165866,genicanthus semicinctus,halfbanded angelfish,NA,"9.2, 9.8, 9.8.3",< 200 m,lc,0
165867,pomacanthus navarchus,bluegirdled angelfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165868,centropyge nox,midnight angelfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165869,apolemichthys guezei,reunion angelfish,NA,9.2,< 200 m,dd,NA
165870,chaetodontoplus conspicillatus,conspicuous angelfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165871,centropyge bispinosa,twospined angelfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165872,genicanthus watanabei,blackedged angelfish,NA,"9.2, 9.8, 9.8.3",< 200 m,lc,0
165873,pomacanthus annularis,bluering angelfish,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165874,genicanthus personatus,masked angelfish,NA,"9.2, 9.8, 9.8.1, 9.8.3",< 200 m,lc,0
165875,centropyge shepardi,shepard's pygmy angelfish,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165876,centropyge multispinis,multispined angelfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165878,centropyge flavissima,lemonpeel angelfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165879,holacanthus tricolor,rock beauty,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165880,holacanthus passer,king angelfish,NA,9.2,< 200 m,lc,0
165881,chaetodontoplus personifer,blueface angelfish,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165882,chaetodontoplus septentrionalis,bluestriped angelfish,NA,"9.2, 9.8",< 200 m,lc,0
165883,holacanthus ciliaris,queen angelfish,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165884,chaetodontoplus mesoleucus,vermiculated angelfish,NA,"9.8, 9.8.2, 9.8.4",< 200 m,lc,0
165885,pygoplites diacanthus,royal angelfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165887,pomacanthus arcuatus,grey angelfish,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165888,genicanthus lamarck,blackstriped angelfish,NA,"9.2, 9.8, 9.8.3, 9.8.4",< 200 m,lc,0
165889,pomacanthus zonipectus,cortez angelfish,NA,9.2,< 200 m,lc,0
165890,centropyge joculator,yellowhead angelfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3",< 200 m,lc,0
165891,chaetodontoplus meredithi,queensland yellowtail angelfish,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165892,chaetodontoplus niger,NA,NA,"9.2, 9.8, 9.8.3",< 200 m,lc,0
165893,centropyge aurantia,golden angelfish,NA,"9.8, 9.8.1, 9.8.3",< 200 m,lc,0
165894,chaetodontoplus caeruleopunctatus,bluespotted angelfish,NA,"9.2, 9.8",< 200 m,dd,NA
165895,centropyge flavipectoralis,yellowfin angelfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165896,centropyge multicolor,multicolor angelfish,NA,"9.8, 9.8.1, 9.8.3",< 200 m,lc,0
165897,centropyge nigriocellus,blackspot angelfish,NA,"9.8, 9.8.1",< 200 m,lc,0
165898,pomacanthus paru,french angelfish,NA,"9.2, 9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165899,centropyge potteri,russet angelfish,NA,"9.2, 9.8, 9.8.1, 9.8.3",< 200 m,lc,0
165900,centropyge venusta,purplemask angelfish,NA,"9.2, 9.8, 9.8.1, 9.8.3",< 200 m,lc,0
165901,centropyge tibicen,keyhole angelfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165902,centropyge bicolor,bicolor angelfish,NA,"9.8, 9.8.1, 9.8.2, 9.8.3, 9.8.4",< 200 m,lc,0
165903,centropyge narcosis,narc angelfish,NA,"9.8, 9.8.3",< 200 m,lc,0
165910,chromis cyanea,blue chromis,NA,9.8,< 200 m,lc,0
165912,conocara nigrum,flathead slickhead,NA,10.3,deep oceanic,dd,NA
165913,paraliparis atramentatus,NA,NA,10.3,deep oceanic,dd,NA
166009,takifugu orbimaculatus,NA,NA,9.10,< 200 m,lc,0
166031,sineleotris chalmersi,NA,NA,9.10,< 200 m,lc,0
166077,eleotris fusca,brown spinecheek gudgeon,NA,"12.7, 9.10",< 200 m,lc,0
166138,bostrychus sinensis,four-eyed sleeper,NA,"12.6, 12.7, 15.13, 9.10, 9.5, 9.6",< 200 m,lc,0
166144,glossogobius olivaceus,NA,NA,12.7,< 20 m,lc,0
166150,acentrogobius viridipunctatus,spotted green goby,NA,"9.10, 9.4, 9.5, 9.6, 9.8",< 200 m,lc,0
166171,eleotris oxycephala,NA,NA,"12.7, 9.10",< 200 m,lc,0
166184,anguilla japonica,japanese eel,NA,"10.1, 10.2, 9.1, 9.10, 9.2, 9.3, 9.4, 9.5, 9.6, 9.7, 9.9",200 m +,en,0.6
166189,anguilla marmorata,marbled eel,NA,"10.1, 10.2, 9.1, 9.10",200 m +,lc,0
166196,clupanodon thrissa,chinese gizzard shad,NA,"9.1, 9.10",< 200 m,lc,0
166197,salanx chinensis,chinese noodlefish,NA,10.1,200 m +,dd,NA
166200,salanx cuvieri,noodlefish,NA,10.1,200 m +,dd,NA
166216,coilia grayii,grey’s grenadier anchovy,NA,"9.1, 9.10",< 200 m,lc,0
166263,sermyla riqueti,NA,NA,"12.7, 15.13, 9.10",< 200 m,lc,0
166268,assiminea latericea,NA,NA,"12.4, 9.10, 9.6",< 200 m,lc,0
166410,ophisternon bengalense,bengal mud eel,NA,9.10,< 200 m,lc,0
