am_sid,binomial
fis-53810,pseudanthias fasciatus
fis-27881,metavelifer multiradiatus
fis-34140,parapercis multiplicata
fis-126093,conocara salmoneum
fis-27941,einara edentula
fis-27977,einara macrolepis
fis-27984,herwigia kreffti
fis-34206,photostylus pycnopterus
fis-166181,centropyge interrupta
fis-34410,rouleina maderensis
fis-28109,barbantus curvifrons
fis-28112,holtbyrnia innesi
fis-34593,maulisia acuticeps
fis-34595,maulisia argipalla
fis-34615,platytroctes apus
fis-34636,xenomystax atrarius
fis-34639,serrivomer sector
fis-34692,argyropelecus lychnus
fis-34702,bathophilus flemingi
fis-28129,aristostomias scintillans
fis-34710,idiacanthus antrostomus
fis-34713,alepocephalus tenebrosus
fis-28136,scopelosaurus harryi
fis-34720,salarias guttatus
fis-28151,pseudocoris heteroptera
fis-34725,physiculus rastrelliger
fis-28156,bothrocara brunneum
fis-57568,lycenchelys crotalinus
fis-34764,argyripnus atlanticus
fis-34768,allocyttus folletti
fis-28170,valenciennellus tripunctulatus
fis-28175,sebastolobus macrochir
fis-34782,heterophotus ophistoma
fis-28178,rhadinesthes decimus
fis-34787,eurymen gyrinus
fis-28181,gymnocanthus pistilliger
fis-34790,bathophilus brevis
fis-28186,hemitripterus villosus
fis-34795,psychrolutes phrictus
fis-28189,zesticelus profundorum
fis-34812,eustomias macrurus
fis-34818,eustomias simplex
fis-34827,melanostomias bartonbeani
fis-34829,melanostomias niger
fis-34831,howella brodiei
fis-34843,caulolatilus hubbsi
fis-34844,bathygobius cyclopterus
fis-28209,hemanthias signifer
fis-34848,aristostomias tittmanni
fis-28216,redigobius bikolanus
fis-28224,caristius macropus
fis-34865,bathysaurus mollis
fis-34870,azurina hirundo
fis-28239,bolinichthys photothorax
fis-28240,centrobranchus nigroocellatus
fis-28408,kyphosus elegans
fis-35069,nansenia candida
fis-28436,pterycombus petersii
fis-28451,decapterus muroadsi
fis-28456,johnrandallia nigrirostris
fis-17275,pentaceros wheeleri
fis-48224,lestidiops jayakari
fis-35216,luciobrotula bartschi
fis-143777,pseudobathylagus milleri
fis-147731,lipolagus ochotensis
fis-164166,bathylagoides wesethi
fis-35242,melamphaes acanthomus
fis-28541,oneirodes acanthias
fis-28563,aetobatus ocellatus
fis-35274,valenciennea parva
fis-28566,valenciennea immaculata
fis-35294,stanulus talboti
fis-35306,gunnellichthys curiosus
fis-35313,canthigaster ocellicincta
fis-28586,pseudanthias pictilis
fis-28587,cirrhitops hubbardi
fis-28613,pristilepis oligolepis
fis-28621,halicampus boothae
fis-28624,onuxodon fowleri
fis-28649,liopropoma maculatum
fis-28660,liopropoma lunulatum
fis-28669,brachysomophis crocodilinus
fis-35406,synodus doaki
fis-28672,diademichthys lineatus
fis-164871,sunagocia arenicola
fis-35414,pempheris schwenkii
fis-28683,bathygobius lineatus
fis-35432,cololabis adoceta
fis-123102,sargocentron ensifer
fis-35439,apogon crassiceps
fis-28726,caprodon schlegelii
fis-35448,symphysanodon katayamai
fis-28744,polylepion russelli
fis-28745,hyperoglyphe japonica
fis-46974,halichoeres zeylonicus
fis-35470,myoxocephalus stelleri
fis-35514,mobula tarapacana
fis-28825,bathyraja spinosissima
fis-131850,amblyraja badia
fis-35523,raja velezi
fis-21818,urobatis maculatus
fis-28850,urotrygon aspidura
fis-35565,limnichthys fasciatus
fis-35580,engyophrys sanctilaurentii
fis-139556,chiloconger dentatus
fis-28931,bathycongrus varidens
fis-28933,gnathophis cinctus
fis-35592,symphurus atramentatus
fis-28944,cheilopogon pinnatibarbatus
fis-124203,haemulon flaviguttatum
fis-28955,hirundichthys albimaculatus
fis-126237,fodiator rostratus
fis-35632,salarias sinuosus
fis-28975,xenisthmus polyzonatus
fis-28976,cryptocentrus leucostictus
fis-28978,lophiodes caulinaris
fis-35643,physiculus nematopus
fis-35659,mesobius berryi
fis-29017,lepophidium prorates
fis-29039,menticirrhus panamensis
fis-35790,astroscopus zephyreus
fis-123736,thunnus orientalis
fis-35806,platax boersii
fis-35863,bostrychus sinensis
fis-35907,foa fo
fis-142112,cercamia eremia
fis-35933,aporops bilinearis
fis-35968,hoplichthys citrinus
fis-29256,gibberichthys latifrons
fis-47312,cheilopogon spilopterus
fis-47542,astronesthes fedorovi
fis-47586,parabothus coarctatus
fis-47774,hoplostethus mento
fis-47814,poromitra oscitans
fis-48922,coryphaenoides rudis
fis-49079,lophodolos acanthognathus
fis-49729,mentodus facilis
fis-49750,neonesthes microcephalus
fis-49870,melamphaes lugubris
fis-49902,evermannella indica
fis-49909,odontostomops normalops
fis-49913,benthalbella infans
fis-49921,scopelarchoides danae
fis-49922,scopelarchus analis
fis-49934,scopelarchus guentheri
fis-49952,diaphus luetkeni
fis-50030,astronesthes trifibulatus
fis-50053,sternoptyx obscura
fis-50075,stemonosudis macrura
fis-50079,coccorella atlantica
fis-50089,diaphus jenseni
fis-50127,diaphus parri
fis-50206,carapus mourlani
fis-50211,onuxodon parvibrachium
fis-51630,encheliophis boraborensis
fis-143470,solocisquama stellulata
fis-50295,parataeniophorus brevis
fis-50301,melamphaes simus
fis-50311,scopeloberyx opisthopterus
fis-50313,scopeloberyx robustus
fis-50361,sebastapistes tinkhami
fis-50370,caulophryne polynema
fis-50380,melanocetus murrayi
fis-167420,caristius fasciatus
fis-50410,chaenophryne draco
fis-50418,chaenophryne longiceps
fis-50427,chaenophryne ramifera
fis-50433,danaphryne nigrifilis
fis-50449,dolopichthys longicornis
fis-50455,dysalotus oligoscolus
fis-50462,dolopichthys pullatus
fis-50465,lophodolos indicus
fis-50466,kali macrura
fis-50469,microlophichthys microlophus
fis-50482,limnichthys nitidus
fis-50491,oneirodes eschrichtii
fis-168166,pentherichthys atratus
fis-50569,ceratias uranoscopus
fis-50600,gigantactis vanhoeffeni
fis-50608,rhynchactis leptonema
fis-50614,haplophryne mollis
fis-50631,linophryne coronata
fis-50633,linophryne pennibarbata
fis-50636,photocorynus spiniceps
fis-50723,fusigobius duospilus
fis-50764,abyssobrotula galatheae
fis-50841,coryphaenoides leptolepis
fis-51000,melamphaes polylepis
fis-51015,myripristis tiki
fis-51602,stenobrachius nannochir
fis-55409,bathyraja abyssicola
fis-52110,bathyraja violacea
fis-52119,bathyraja lindbergi
fis-52159,chiasmodon subniger
fis-52166,venefica tentaculata
fis-52195,notacanthus abbotti
fis-52203,osmerus dentex
fis-52282,bathylagus pacificus
fis-52352,ichthyococcus elongatus
fis-148978,sigmops gracilis
fis-52460,rhinochimaera pacifica
fis-52521,polyipnus matsubarai
fis-52688,opostomias mitsuii
fis-52791,moringua abbreviata
fis-52866,ahliesaurus brevis
fis-52868,protomyctophum thompsoni
fis-52885,tarletonbeania taylori
fis-52893,lampadena yaquinae
fis-52894,lampanyctus acanthurus
fis-52896,lampanyctus jordani
fis-52904,diaphus kuroshio
fis-52940,lestidiops sphyraenopsis
fis-53012,pleurosicya mossambica
fis-53166,lepidion inosimae
fis-53240,malthopsis mitrigera
fis-53380,lophiodes miacanthus
fis-53389,caulophryne jordani
fis-53392,oneirodes bulbosus
fis-53393,oneirodes thompsoni
fis-53394,bertella idiomorpha
fis-53396,gigantactis perlatus
fis-53397,gigantactis gargantua
fis-159076,aulotrachichthys prosthemius
fis-53412,echidna delicatula
fis-53596,sargocentron spinosissimum
fis-53631,lophotus capellei
fis-53722,neoscombrops pacificus
fis-53726,bathysphyraenops simplex
fis-53728,howella parini
fis-53729,howella zina
fis-53858,epigonus pectinifer
fis-53861,epigonus atherinoides
fis-53880,brama myersi
fis-53882,eumegistus illustris
fis-53989,bodianus cylindriatus
fis-54023,chrionema chryseres
fis-54073,gnatholepis anjerensis
fis-54219,cabillus lacertops
fis-54268,luposicya lupus
fis-62593,heteroclinus roseus
fis-54370,opisthocentrus ocellatus
fis-54429,lycenchelys rassi
fis-54444,schindleria praematura
fis-54508,plectrogenium nanum
fis-54537,hemilepidotus gilberti
fis-54551,icelus canaliculatus
fis-54628,gymnocanthus detrisus
fis-147792,percis japonica
fis-168350,scalicus hians
fis-168349,scalicus engyceros
fis-54783,eumicrotremus barbatus
fis-54879,liparis ochotensis
fis-144041,allocareproctus jordani
fis-54895,careproctus furcellus
fis-54896,careproctus cypselurus
fis-54902,lipariscus nanus
fis-54907,paraliparis rosaceus
fis-54909,careproctus colletti
fis-54976,pherallodus indicus
fis-55015,draconetta xenica
fis-55090,lepidopsetta bilineata
fis-55114,kentrocapros aculeatus
fis-55519,serrivomer jesperseni
fis-55752,chascanopsetta prorigera
fis-55811,talismania bifurcata
fis-125842,coryphaenoides filifer
fis-56163,bothrocara molle
fis-56185,lycenchelys jordani
fis-56463,linophryne densiramus
fis-56464,linophryne indica
fis-56596,plectranthias kelloggi
fis-56601,plectranthias yamakawai
fis-56826,cetonurus crassiceps
fis-56840,lycodes brunneofasciatus
fis-150167,regalecus russelii
fis-57179,careproctus gilberti
fis-57502,paraliparis paucidens
fis-57503,rhinoliparis attenuatus
fis-57505,osteodiscus cascadiae
fis-57507,paraliparis cephalus
fis-57512,careproctus oregonensis
fis-57528,taranetzella lyoderma
fis-57529,lycodapus endemoscotus
fis-140586,scopelogadus bispinosus
fis-57570,pachycara bulbiceps
fis-57574,cyclothone signata
fis-57663,benthalbella linguidens
fis-150581,asterropteryx spinosa
fis-58104,pempheris adusta
fis-58143,eviota zebrina
fis-58162,etmopterus bigelowi
fis-137761,apogon pacificus
fis-118500,plagiotremus azaleus
fis-58234,malacoctenus tetranemus
fis-58246,chaenopsis schmitti
fis-58268,rypticus bicolor
fis-58269,quassiremus evionthas
fis-58277,liopropoma fasciatum
fis-58799,salarias alboguttatus
fis-58809,cryptocentrus leptocephalus
fis-156898,trimma macrophthalmus
fis-151763,fusigobius inframaculatus
fis-120470,kuronezumia bubonis
fis-61706,sphoeroides lispus
fis-140932,sigmops ebelingi
fis-62376,vinciguerria lucetia
fis-62379,bathophilus kingi
fis-63259,dysommina rugosa
fis-64711,gigantactis macronema
fis-112248,bryx veleronis
fis-112702,laemonema robustum
fis-113158,arcos erythrops
fis-136332,tomicodon petersii
fis-150017,enneanectes carminalis
fis-113313,axoclinus lucillae
fis-113413,eucinostomus dowii
fis-113426,apogon retrosella
fis-113429,apogon atricaudus
fis-113495,gillellus semicinctus
fis-113505,exerpes asper
fis-113513,malacoctenus ebisui
fis-113558,xenomedea rhodopyga
fis-113633,malacoctenus hubbsi
fis-113732,barbulifer pantherinus
fis-113787,microgobius tabogensis
fis-173443,tigrigobius puncticulatus
fis-113926,ctenogobius manglicola
fis-113951,microgobius cyclolepis
fis-113956,microgobius curtus
fis-114088,serrivomer samoensis
fis-114098,bathophilus filifer
fis-114124,diaphus pacificus
fis-114251,enneapterygius tutuilae
fis-133385,protemblemaria bicirrus
fis-116739,lycenchelys camchatica
fis-116747,lycenchelys incisa
fis-116755,lycenchelys micropora
fis-116910,lycenchelys porifer
fis-116917,lycenchelys ratmanovi
fis-116926,lycenchelys scaurus
fis-116935,lycodapus dermatinus
fis-116940,lycodapus psarostomatus
fis-117115,pachycara lepinium
fis-120428,yongeichthys criniger
fis-120908,lestidiops pacificus
fis-121645,suttonia lineata
fis-121781,enneapterygius flavoccipitis
fis-121783,enneapterygius philippinus
fis-123121,chlorophthalmus mento
fis-123123,hoplunnis pacifica
fis-123132,porichthys pauciradiatus
fis-123138,serranus aequidens
fis-123139,serranus huascarii
fis-123142,synchiropus atrilabiatus
fis-123959,astronesthes luetkeni
fis-124211,peristedion crustosum
fis-124275,paraliparis ulochir
fis-124276,rhinoliparis barbulifer
fis-124324,plesiops verecundus
fis-124376,lasiognathus beebei
fis-149783,malacocottus aleuticus
fis-125600,elassodiscus tremebundus
fis-125622,careproctus longifilis
fis-125627,dactylagnus mundus
fis-125639,elassodiscus caudatus
fis-125642,paraliparis dactylosus
fis-125662,careproctus filamentosus
fis-125665,paraliparis pectoralis
fis-125765,enneapterygius nigricauda
fis-125780,enneapterygius signicauda
fis-126907,coryphaenoides yaquinae
fis-127016,trachonurus sentipellis
fis-127137,echiodon exsilium
fis-127944,rhinochimaera africana
fis-128368,feia nympha
fis-130298,bollmannia stigmatura
fis-130313,bollmannia ocellata
fis-130876,ophichthus altipennis
fis-131445,trigonognathus kabeyai
fis-131582,myxine hubbsi
fis-131623,eptatretus mcconnaugheyi
fis-131936,bassozetus zenkevitchi
fis-132010,bathyonus caudalis
fis-132018,eretmichthys pinnatus
fis-132037,melamphaes janae
fis-132060,cryptacanthodes giganteus
fis-132076,monomitopus torvus
fis-132108,neobythites stelliferoides
fis-132395,chlorophthalmus proridens
fis-132442,halosaurus radiatus
fis-139599,nannobrachium idostigma
fis-132487,lampanyctus omostigma
fis-132490,parvilux boschmai
fis-132758,laemonema rhodochir
fis-132763,laemonema gracillipes
fis-132808,holtbyrnia latifrons
fis-134029,stomias colubrinus
fis-149523,avocettina bowersii
fis-134130,rosenblattichthys volucris
fis-134146,synodus capricornis
fis-134163,melamphaes indicus
fis-134409,scuticaria okinawae
fis-134463,cataetyx simus
fis-134593,halieutopsis bathyoreos
fis-138079,dicrolene filamentosa
fis-138158,saccogaster tuberculata
fis-138183,cataetyx rubrirostris
fis-138820,scorpaenopsis papuensis
fis-139416,leptocephalus giganteus
fis-139428,saccopharynx lavenbergi
fis-139429,nansenia crassa
fis-139478,ichthyococcus irregularis
fis-139531,dolopichthys allector
fis-139548,evermannella ahlstromi
fis-139713,phyllorhinichthys micractis
fis-140563,melamphaes parvus
fis-146181,iniistius baldwini
fis-141387,hymenocephalus aterrimus
fis-141776,gymnothorax phalarus
fis-142245,citharichthys mariajorisae
fis-142912,synodus lobeli
fis-143499,gymnothorax ypsilon
fis-143534,dibranchus hystrix
fis-149527,dibranchus spongiosa
fis-143552,dibranchus spinosus
fis-143556,dibranchus erinaceus
fis-143560,dibranchus nudivomer
fis-143735,facciolella equatorialis
fis-143830,astronesthes nigroides
fis-143859,caulophryne pelagica
fis-143868,himantolophus sagamius
fis-144053,lepidopsetta polyxystra
fis-144121,mirorictus taningi
fis-144240,lycenchelys pearcyi
fis-144330,aphanopus arigato
fis-144593,siphamia tubifer
fis-151821,fusigobius humeralis
fis-145225,nemichthys larseni
fis-145263,girella leonina
fis-145360,brachysomophis henshawi
fis-165220,scorpaenodes evides
fis-145428,oneirodes luetkeni
fis-145434,oneirodes rosenblatti
fis-145536,clarkichthys bilineatus
fis-146372,scopelarchus stephensi
fis-146734,naso tonganus
fis-147633,scopelosaurus adleri
fis-148363,anotopterus nikparini
fis-148816,eumicrotremus asperrimus
fis-149221,merluccius hernandezi
fis-149263,gephyroberyx japonicus
fis-149460,nannobrachium crypticum
fis-149461,nannobrachium gibbsi
fis-149478,triphoturus oculeum
fis-149568,maurolicus japonicus
fis-149572,dolichopteryx parini
fis-150446,liopropoma longilepis
fis-150601,mugilogobius notospilus
fis-150746,lile nigrofasciata
fis-150762,hyporhamphus naos
fis-155307,kyphosus pacificus
fis-156400,bothrocara nyx
fis-156728,gobiodon prolixus
fis-159187,trimma flavatrum
fis-159562,zoramia viridiventer
fis-160414,sebastes variabilis
fis-160940,mustelus albipinnis
fis-161573,minysicya caudimaculata
fis-161650,bodianus dictynna
fis-162475,lycodes beringi
fis-162812,alionematichthys piger
fis-163002,hydrolagus melanophasma
fis-133901,canthigaster axiologus
fis-163753,poromitra curilensis
fis-163919,malthopsis gigas
fis-52165,kali kerberti
fis-164793,squalus suckleyi
fis-165443,trimma maiandros
fis-165595,cetoscarus ocellatus
fis-166038,paracaristius nudarcus
fis-165213,gerres simillimus
fis-169054,sebastes melanostictus
fis-170174,platyberyx andriashevi
fis-170112,liparis bathyarcticus
fis-170774,scolecenchelys iredalei
fis-171617,himantolophus rostratus
fis-173482,pseudojuloides splendens
fis-22843,anchoa delicatissima
fis-30494,plagiogrammus hopkinsii
fis-30638,sebastes lentiginosus
fis-30640,sebastes melanosema
fis-31121,pseudojuloides mesostigma
fis-26520,hydrolagus purpurescens
fis-33134,halosaurus attenuatus
fis-158249,chaunacops coloratus
fis-33748,asquamiceps velaris
fis-34641,monognathus ahlstromi
fis-34791,bathophilus irregularis
fis-35980,cetichthys parini
fis-144477,mentodus mesalirus
fis-49907,derepodichthys alepidotus
fis-50627,linophryne arcturi
fis-50635,linophryne racemifera
fis-52571,holcomycteronus digittatus
fis-52739,eustomias ioani
fis-53189,physiculus rhodopinnis
fis-53296,nezumia burragei
fis-54503,rhinopias xenops
fis-55055,synchiropus kiyoae
fis-55670,eustomias satterleei
fis-154822,careproctus ovigerus
fis-57501,paraliparis latifrons
fis-57510,acantholiparis opercularis
fis-61169,paraliparis meridionalis
fis-62571,brephostoma carpenteri
fis-112507,syngnathus insulae
fis-116742,lycenchelys cicatrifer
fis-116901,lycenchelys monstrosa
fis-117113,pachycara gymninium
fis-117130,pachycara suspectum
fis-118261,ernogrammus walkeri
fis-123094,coryphaenoides oreinos
fis-124379,lasiognathus saccostoma
fis-125561,careproctus abbreviatus
fis-125688,careproctus mollis
fis-125693,acantholiparis caecus
fis-125726,paraliparis mento
fis-125736,paraliparis megalopus
fis-126015,nezumia obliquata
fis-127056,sphagemacrurus gibber
fis-127585,grammatonotus macrophthalmus
fis-128093,gigantactis microdontis
fis-128094,gigantactis savagei
fis-131323,ophichthus tetratrema
fis-131551,malacosarcus macrostoma
fis-131621,eptatretus fritzi
fis-132064,leptobrotula breviventralis
fis-132165,bassozetus levistomatus
fis-132167,bassozetus nasus
fis-132404,paraclinus magdalenae
fis-132464,parrella ginsburgi
fis-133346,ilyophis arx
fis-133521,diplacanthopoma jordani
fis-133549,engyprosopon arenicola
fis-133813,kasatkia seigeli
fis-133923,canthigaster inframacula
fis-134048,hydrolagus macrophthalmus
fis-134171,pteropsaron incisum
fis-134197,ctenochirichthys longimanus
fis-134472,stethopristes eos
fis-148610,itycirrhitus wilhelmi
fis-137841,sebastes notius
fis-138067,brotulotaenia nielseni
fis-138074,ophidion exul
fis-138121,porogadus atripectus
fis-138122,porogadus longiceps
fis-169647,parasaccogaster normae
fis-138189,pseudonus acutus
fis-138681,monognathus rosenblatti
fis-138971,lophiodes bruchius
fis-139317,ataxolepis henactis
fis-139596,typhlonus nasus
fis-139620,nansenia longicauda
fis-143547,dibranchus sparsus
fis-143613,ogcocephalus porrectus
fis-143865,himantolophus nigricornis
fis-143917,paraliparis albescens
fis-143966,prognatholiparis ptychomandibularis
fis-144103,alepocephalus asperifrons
fis-144113,alepocephalus fundulus
fis-144234,lycenchelys callista
fis-144237,lycenchelys folletti
fis-144517,tyrannophryne pugnax
fis-144634,linophryne macrodon
fis-144806,synchiropus rubrovinctus
fis-145111,synchiropus kinmeiensis
fis-145313,monolene danae
fis-145388,poromitra unicornis
fis-145426,oneirodes basili
fis-145427,oneirodes dicromischus
fis-146042,psednos mexicanus
fis-146046,psednos cathetostomus
fis-146100,psednos pallidus
fis-146101,psednos griseus
fis-146103,psednos anoderkes
fis-146367,paraliparis nassarum
fis-147612,bathycongrus aequoreus
fis-147734,diaphus trachops
fis-149809,yarrella argenteola
fis-154696,esselenichthys carli
fis-154697,esselenichthys laurae
fis-152016,oneirodes pietschi
fis-152095,lumpenopsis clitella
fis-156279,starksia guadalupae
fis-159261,halieutopsis margaretae
fis-161852,dolichopteryx pseudolongipes
fis-162055,opistognathus walkeri
fis-162107,icelinus limbaughi
fis-163710,paraliparis bullacephalus
fis-163771,poromitra rugosa
fis-164265,ophichthus tomioi
fis-164375,luciobrotula coheni
fis-170965,chimaera orientalis
fis-173073,sebastes diaconus
fis-173170,notoraja martinezi
w-bch-208908,menaethius monoceros
slb-10005,pugettia foliata
w-bch-240780,pugettia producta
w-bch-441490,pugettia richii
w-bch-441503,taliepus nuttallii
w-bch-442367,echinoecus pentagonus
its-660230,agononida normani
its-660129,galathea spinosorostris
slb-100366,gonodactylellus rubriguttatus
slb-100384,gonodactylellus viridis
slb-100410,gonodactylus childi
slb-100413,gonodactylus chiragra
slb-100427,gonodactylus platysoma
slb-100429,drupina grossularia
w-msc-459085,drupa morum
w-msc-596436,drupa ricinus
w-msc-212142,drupa rubusidaeus
slb-100469,tenguella granulata
slb-100475,gonodactylus smithii
w-msc-208125,coralliophila violacea
its-97966,munida quadrispina
w-msc-511782,euplica varians
w-msc-215436,conus ebraeus
w-msc-215559,conus eburneus
w-msc-215478,conus sanguinolentus
slb-100710,xanthias lamarckii
slb-100765,imbricariopsis punctata
w-bch-440134,hirsutodynomene spinosa
its-98024,galacantha diomedeae
slb-100851,pusia microzonias
w-bch-440059,cryptodromia tumida
w-pol-130673,phyllodoce longipes
slb-101107,calcinus morgani
slb-101140,clibanarius striolatus
its-660144,phylladiorhynchus integrirostris
its-98056,pleuroncodes planipes
slb-101331,pseudosquillana richeri
its-682561,pseudosquillisma oculata
slb-101341,raoulserenea oxyrhyncha
slb-101344,taku spinosocarinatus
slb-101364,acanthosquilla derijardi
its-682565,acanthosquilla multifasciata
its-96596,gnathophylloides mineri
its-96593,gnathophyllum americanum
slb-101678,pullosquilla thomassini
its-682581,heterosquilloides insignis
its-682587,busquilla quadraticauda
its-682558,odontodactylus hawaiiensis
its-682593,oratosquilla fabricii
w-bch-210299,pseudozius caystrus
w-bch-422188,grapsus grapsus
w-bch-207529,grapsus tenuicrustatus
w-bch-207536,metopograpsus messor
w-bch-207537,metopograpsus thukuhar
w-bch-395017,pachygrapsus fakaravensis
slb-102108,fistulobalanus albicostatus
w-bch-207539,pachygrapsus minutus
w-bch-207538,pachygrapsus planifrons
w-bch-207541,pachygrapsus plicatus
slb-102134,parvisquilla multituberculata
slb-102208,squilla bigelowi
chn-4a9f789f-84e4-4da2-b520-c754b804a303,savignium crenatum
slb-102532,trevathana dentata
slb-102589,neotrevathana elongata
w-hyd-117504,solmissus incisa
its-96874,latreutes anoplonyx
its-96787,lebbeus groenlandicus
w-msc-197236,limopsis marionensis
its-96792,lebbeus polaris
its-659974,lysmata amboinensis
its-96897,lysmata californica
slb-103483,lithotrya nicobarica
slb-103492,aniculus aniculus
w-asc-252278,botrylloides diegensis
its-96920,thor amboinensis
w-bch-209480,homola orientalis
w-bch-440209,paromola japonica
w-bch-441885,cyrtomaia lamellata
w-bch-421950,metoporhaphis calcarata
w-bch-209508,actaeomorpha erosa
w-msc-388696,aegires exeches
w-bch-441333,randallia ornata
its-97921,acantholithodes hispidus
its-97953,cryptolithodes sitchensis
its-97954,cryptolithodes typicus
its-97950,lopholithodes mandtii
its-660182,neolithodes diomedeae
its-97937,paralithodes brevipes
its-97947,paralomis verrilli
its-97933,phyllolithodes papillosus
its-95917,lucifer typus
w-bch-210147,cyclax suborbicularis
w-bch-442074,schizophroida hilensis
slb-10550,schizophrys aspera
its-96154,nematocarcinus ensifer
its-659866,nematocarcinus gracilis
its-96737,ogyrides alphaerostris
its-96117,acanthephyra curtirostris
its-96120,acanthephyra eximia
its-659848,acanthephyra quadrispinosa
its-96121,acanthephyra stylorostratis
its-659849,heterogenys microphthalma
its-96110,hymenodora frontalis
its-96109,hymenodora glacialis
its-96111,hymenodora gracilis
its-96126,meningodora mollis
its-96148,notostomus elegans
its-96149,notostomus gibbosus
its-96142,oplophorus gracilirostris
its-96145,oplophorus spinosus
its-96137,systellaspis braueri
its-96139,systellaspis debilis
w-bch-107315,chionoecetes opilio
w-bch-442169,macroregonia macrochira
w-bch-442171,oregonia gracilis
its-97837,elassochirus tenuimanus
its-660195,nematopagurus spinulosensoris
its-660197,pagurixus nomurai
its-612228,anchistus miersi
its-96545,brachycarpus biunguiculatus
its-612240,conchodytes meleagrinae
its-612243,conchodytes tridacnae
its-612245,coralliocaris graminea
its-612247,coralliocaris nudirostris
its-612249,coralliocaris superba
its-612251,coralliocaris viridis
its-612274,harpiliopsis beaupresii
its-612275,harpiliopsis depressa
its-612279,jocaste japonica
its-96215,leander tenuicornis
w-pol-334162,nereiphylla castanea
w-pol-334506,phyllodoce groenlandica
w-pol-130677,phyllodoce madeirensis
w-pol-337587,phyllodoce panamensis
w-pol-333806,lepidonopsis humilis
w-pol-332886,acoetes pacifica
w-pol-331035,polyodontes frons
w-pol-157541,polyodontes lupinus
slb-111129,hesione splendida
slb-111167,salvatoria mediodentata
w-pol-327986,exogone naidinoides
slb-111191,exogone breviantennata
w-pol-131414,syllis amica
w-pol-334177,nereis callaona
w-pol-209811,glycera longipinnis
w-pol-327684,eunice fucata
w-pol-131188,spiophanes kroyeri
w-pol-329276,mastobranchus variabilis
w-pol-329802,nicomache antillensis
w-pol-157550,sabaco elongatus
slb-111576,acromegalomma heterops
w-pol-421079,notaulax occidentalis
w-pol-334600,pomatostegus stellatus
w-pol-131055,spirobranchus tetraceros
its-96477,palaemon ritteri
its-96549,palaemonella holmesi
its-612315,palaemonella rotumana
its-612317,palaemonella tenuipes
w-msc-215258,acar plicata
w-bry-111512,savignyella lafontii
w-msc-208472,isognomon legumen
w-msc-394289,cryptopecten nux
w-msc-208488,chama asperella
w-msc-216524,pinguitellina pinguis
w-pol-328104,glycera brevicirris
w-msc-394290,cryptopecten bullatus
w-msc-215410,parvamussium cristatellum
its-612391,ancylocaris brevicarpalis
w-msc-507668,globivenus toreuma
its-612400,laomenes ceratophthalmus
its-612402,cristimenes commensalis
w-pol-130701,sigambra constricta
w-pol-130265,scoletoma tetraura
w-pol-332892,aglaophamus dibranchis
slb-113160,munida amathea
w-pol-130376,leonnates decipiens
slb-113180,neanthes acuminata
w-pol-334111,neanthes unifasciata
w-pol-334446,perinereis obfuscata
w-pol-130460,diopatra neapolitana
slb-113353,munida profunda
its-612439,zenopontonia rex
w-pol-332992,aphelochaeta multifilis
its-612443,actinimenes inornatus
w-pol-333702,kinbergonuphis microcephala
slb-113750,ceratonereis mirabilis
w-pol-131415,syllis armillaris
slb-113972,euanodontia ovum
its-612493,manipontonia psamathe
w-pol-333110,bispira melanostigma
pbd-223565,tylocarcinus styx
slb-114098,actaeodes tomentosus
w-bch-209051,actaeodes hirsutissimus
w-bch-209085,leptodius nudipes
w-bch-209152,ozius rugulosus
w-bch-210176,trapezia cymodoce
its-612506,zenopontonia soror
its-612516,periclimenes uniunguiculatus
w-bch-441454,huenia brevifrons
w-msc-367277,wallucina fijiensis
w-pol-195986,salvatoria clavata
w-pol-195989,salvatoria limbata
w-msc-208495,chama limbula
w-msc-505431,ctenoides ales
w-msc-216300,euchelus atratus
w-msc-208481,trapezium bicarinatum
w-msc-216714,clypeomorus brevis
its-612564,thaumastocaris streptopus
its-612780,urocaridella antonbruunii
its-660231,panulirus femoristriga
its-97650,panulirus interruptus
its-199949,panulirus penicillatus
its-97071,heterocarpus dorsalis
its-97064,heterocarpus ensifer
its-97074,heterocarpus laevigatus
its-97076,heterocarpus sibogae
its-96995,pandalus dispar
its-96967,pandalus borealis
its-96982,pandalus danae
its-621110,pandalus eous
its-96968,pandalus goniurus
its-96981,pandalus hypsinotus
its-96970,pandalus jordani
its-96984,pandalus stenolepis
its-96977,pandalus tridens
its-660002,pantomus affinis
its-97026,plesionika edwardsii
its-97037,plesionika ensis
its-97020,plesionika martia
its-660029,plesionika sindoi
its-97045,plesionika williamsi
its-97081,plesionika richardi
w-bch-158416,eurypanopeus depressus
w-msc-212155,drupella cornus
its-660216,strobopagurus gracilipes
its-660217,sympagurus affinis
its-660218,sympagurus dofleini
w-bch-442321,rhinolambrus contrarius
its-96178,leptochela serratorbita
its-96185,parapasiphae sulcatifrons
chn-eff8756a-9d9f-4430-886b-4a0badfed55d,paralbunea dayriti
its-96163,pasiphaea pacifica
w-msc-593614,rissoina costata
its-96165,pasiphaea tarda
w-msc-216723,royella sinon
slb-117996,sabia conica
slb-118006,aniculus retipes
slb-118046,dardanus scutellatus
its-551573,penaeus californiensis
its-551587,heteropenaeus longimanus
its-551682,penaeus vannamei
its-551589,penaeus canaliculatus
slb-118391,hippa adactyla
